%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
223.565> FFFFFFFF 00000001 0 = 140000000 
223.573> FFFFFFFF 00000001 0 = 150000000 
223.615> FFFFFFFF 00000001 0 = 152000000 
223.753> FFFFFFFF 00000001 0 = 112000000 
223.761> FFFFFFFF 00000001 0 = 102000000 
223.803> FFFFFFFF 00000001 0 = 100000000 
224.559> FFFFFFFF 00000001 0 = 180000000 
224.876> FFFFFFFF 00000001 0 = 100000000 
 225.88> FFFFFFFF 00000001 0 = 140000000 
225.888> FFFFFFFF 00000001 0 = 150000000 
 225.93> FFFFFFFF 00000001 0 = 152000000 
226.197> FFFFFFFF 00000001 0 = 112000000 
226.205> FFFFFFFF 00000001 0 = 102000000 
226.247> FFFFFFFF 00000001 0 = 100000000 
  300.0> 00000000 00000000 0 = 100000000 
308.675> 00000000 00000000 0 = 100000001 
308.857> 00000000 00000000 0 = 000000001 
309.146> 00000000 00000000 0 = 000000201 
309.184> 00000000 00000000 0 = 001000201 
 309.28> 00000000 00000000 0 = 001000221 
 309.34> 00000000 00000000 0 = 001400221 
309.404> 00000000 00000000 0 = 001400220 
309.412> 00000000 00000000 0 = 001410220 
309.424> 00000000 00000000 0 = 001410228 
309.468> 00000000 00000000 0 = 00141022C 
 309.47> 00000000 00000000 0 = 00141023C 
309.494> 00000000 00000000 0 = 02141023C 
 309.52> 00000000 00000000 0 = 02541023C 
309.685> 00000000 00000000 0 = 02541022C 
309.815> 00000000 00000000 0 = 02541026C 
309.898> 00000000 00000000 0 = 02541006C 
309.953> 00000000 00000000 0 = 025C1006C 
310.046> 00000000 00000000 0 = 025C1406C 
310.193> 00000000 00000000 0 = 025C14068 
 310.24> 00000000 00000000 0 = 005C14068 
310.262> 00000000 00000000 0 = 00DC14068 
310.268> 00000000 00000000 0 = 00DC14060 
310.292> 00000000 00000000 0 = 00DC14020 
310.298> 00000000 00000000 0 = 00DC16020 
310.333> 00000000 00000000 0 = 00D816020 
310.517> 00000000 00000000 0 = 00D836020 
310.541> 00000000 00000000 0 = 00D836820 
310.594> 00000000 00000000 0 = 005836820 
310.622> 00000000 00000000 0 = 005036820 
310.684> 00000000 00000000 0 = 005236820 
310.911> 00000000 00000000 0 = 005236C20 
311.009> 00000000 00000000 0 = 005237C20 
311.125> 00000000 00000000 0 = 004237C20 
 311.28> 00000000 00000000 0 = 004237CA0 
311.323> 00000000 00000000 0 = 004217CA0 
311.351> 00000000 00000000 0 = 004217C80 
311.363> 00000000 00000000 0 = 004017C80 
311.871> 00000000 00000000 0 = 004097C80 
311.965> 00000000 00000000 0 = 004097880 
311.993> 00000000 00000000 0 = 006097880 
312.171> 00000000 00000000 0 = 006096880 
312.178> 00000000 00000000 0 = 006096980 
312.208> 00000000 00000000 0 = 006086980 
312.249> 00000000 00000000 0 = 006006980 
312.466> 00000000 00000000 0 = 016006980 
312.598> 00000000 00000000 0 = 014006980 
312.613> 00000000 00000000 0 = 010006980 
312.678> 00000000 00000000 0 = 090006980 
312.727> 00000000 00000000 0 = 090004980 
312.728> 00000000 00000000 0 = 090000980 
 312.88> 00000000 00000000 0 = 0D0000980 
313.045> 00000000 00000000 0 = 0C0000980 
313.052> 00000000 00000000 0 = 0C0000180 
313.116> 00000000 00000000 0 = 080000180 
313.203> 00000000 00000000 0 = 000000180 
313.206> 00000000 00000000 0 = 000000100 
313.675> 00000000 00000000 0 = 000008100 
313.806> 00000000 00000000 0 = 000000100 
314.951> 00000000 00000000 0 = 000000000 
  400.0> 01010101 7F7F7F7F 0 = 000000000 
408.675> 01010101 7F7F7F7F 0 = 000000001 
408.756> 01010101 7F7F7F7F 0 = 000000011 
409.021> 01010101 7F7F7F7F 0 = 000000015 
409.108> 01010101 7F7F7F7F 0 = 00000001D 
409.146> 01010101 7F7F7F7F 0 = 00000021D 
409.155> 01010101 7F7F7F7F 0 = 00000021F 
409.404> 01010101 7F7F7F7F 0 = 00000021E 
409.412> 01010101 7F7F7F7F 0 = 00001021E 
409.516> 01010101 7F7F7F7F 0 = 02001021E 
409.534> 01010101 7F7F7F7F 0 = 02001023E 
409.581> 01010101 7F7F7F7F 0 = 02001423E 
409.594> 01010101 7F7F7F7F 0 = 02001427E 
